record _id__id_enregistrement,year__année,month__mois,day__jours,age__âge,forklength__longeur_fourche
710,1995,5,30,5,51.6
711,1995,5,30,5,51.8
712,1995,5,30,5,52.4
713,1995,5,30,5,53
714,1995,5,30,5,53.7
715,1995,5,30,5,58.4
716,1995,5,30,6,59.4
717,1995,5,30,6,59.8
718,1995,5,30,8,69.8
719,1995,6,6,3,33
720,1995,6,6,3,33
721,1995,6,6,3,33.5
722,1995,6,6,3,33.6
723,1995,6,6,3,33.7
724,1995,6,6,3,33.7
725,1995,6,6,3,33.7
726,1995,6,6,3,34
727,1995,6,6,3,34.1
728,1995,6,6,3,34.1
729,1995,6,6,3,34.2
730,1995,6,6,3,34.3
731,1995,6,6,3,34.4
732,1995,6,6,3,34.5
733,1995,6,6,3,34.7
734,1995,6,6,3,34.7
735,1995,6,6,3,34.8
736,1995,6,6,3,34.9
737,1995,6,6,3,35
738,1995,6,6,3,35
739,1995,6,6,3,35
740,1995,6,6,3,35.2
741,1995,6,6,3,35.2
742,1995,6,6,3,35.2
743,1995,6,6,3,35.3
744,1995,6,6,3,35.4
745,1995,6,6,3,35.4
746,1995,6,6,3,35.6
747,1995,6,6,3,35.6
748,1995,6,6,3,36.1
749,1995,6,6,3,36.2
750,1995,6,6,3,36.4
751,1995,6,6,3,36.5
752,1995,6,6,3,36.5
753,1995,6,6,3,36.7
754,1995,6,6,3,37.6
755,1995,6,6,4,39.5
756,1995,6,6,4,40.3
757,1995,6,6,4,42.1
758,1995,6,6,4,42.3
759,1995,6,6,4,42.9
760,1995,6,6,4,44.3
761,1995,6,6,5,50
762,1995,6,6,5,50.1
763,1995,6,6,5,52.6
764,1995,6,6,8,60.2
765,1995,6,7,6,44.5
766,1995,6,8,8,70.2
767,1995,6,9,3,34.2
768,1995,6,9,3,35.7
769,1995,6,9,3,37.1
770,1995,6,9,4,40.1
771,1995,6,9,4,40.5
772,1995,6,9,4,41.5
773,1995,6,9,4,46.7
774,1995,6,10,3,35
775,1995,6,10,3,35.3
776,1995,6,10,3,35.7
777,1995,6,10,3,35.9
778,1995,6,10,3,36.1
779,1995,6,10,4,42.7
780,1995,6,10,4,43
781,1995,6,10,4,44.7
782,1995,6,10,4,44.7
783,1995,6,10,4,44.8
784,1995,6,10,4,45.5
785,1995,6,10,4,47.1
786,1995,6,10,4,50.2
787,1995,6,10,4,51.2
788,1995,6,10,4,53.4
789,1995,6,11,3,34.2
790,1995,6,11,3,34.3
791,1995,6,11,3,35.3
792,1995,6,11,3,36.6
793,1995,6,11,5,42.6
794,1995,6,11,4,43.1
795,1995,6,11,5,45.4
796,1995,6,11,5,46
797,1995,6,11,4,47.6
798,1995,6,11,5,51.7
799,1995,6,11,4,51.7
800,1995,6,11,5,52
801,1995,6,11,5,55.1
802,1995,6,11,8,61.1
803,1995,6,11,10,83.7
804,1995,6,14,3,34
805,1995,6,14,3,34.3
806,1995,6,14,3,35.2
807,1995,6,14,3,35.3
808,1995,6,14,3,35.3
809,1995,6,14,3,35.6
810,1995,6,14,3,35.6
811,1995,6,14,3,35.7
812,1995,6,14,3,35.7
813,1995,6,14,3,35.8
814,1995,6,14,3,36
815,1995,6,14,3,36.3
816,1995,6,14,3,36.5
817,1995,6,14,3,36.5
818,1995,6,14,4,40.2
819,1995,6,14,4,42.7
820,1995,6,14,4,42.8
821,1995,6,14,4,43.4
822,1995,6,14,4,44.1
823,1995,6,14,4,44.8
824,1995,6,14,4,45
825,1995,6,14,4,45.5
826,1995,6,14,4,45.5
827,1995,6,14,5,49.1
828,1995,6,14,5,50
829,1995,6,14,5,50.7
830,1995,6,14,5,51.9
831,1995,6,14,6,55.6
832,1995,6,15,3,40.3
833,1995,6,15,4,42.4
834,1995,6,15,4,45.5
835,1995,6,15,4,45.6
836,1995,6,15,4,45.9
837,1995,6,15,4,46.3
838,1995,6,15,4,46.8
839,1995,6,15,5,47.3
840,1995,6,15,4,47.7
841,1995,6,15,4,47.8
842,1995,6,15,5,48.3
843,1995,6,15,4,48.4
844,1995,6,15,4,48.4
845,1995,6,15,4,48.5
846,1995,6,15,4,48.6
847,1995,6,15,4,48.6
848,1995,6,15,4,48.8
849,1995,6,15,4,49
850,1995,6,15,4,49
851,1995,6,15,4,49.9
852,1995,6,15,4,50
853,1995,6,15,5,50.1
854,1995,6,15,4,50.3
855,1995,6,15,4,50.7
856,1995,6,15,4,51
857,1995,6,15,5,51.2
858,1995,6,15,5,51.9
859,1995,6,15,4,52.3
860,1995,6,15,5,53.6
861,1995,6,15,5,54.9
862,1995,6,15,5,55.5
863,1995,6,15,10,83.3
864,1995,6,17,5,51.1
865,1995,6,17,6,53.6
866,1995,6,17,10,80.3
867,1995,6,18,3,35.5
868,1995,6,18,4,44.6
869,1995,6,18,4,45.6
870,1995,6,18,4,47.5
871,1995,6,19,5,43.2
872,1995,6,19,4,45.4
873,1995,6,19,4,47.2
874,1996,5,22,5,63
875,1996,5,29,6,62.7
876,1996,6,3,5,58.3
877,1996,6,3,5,58.6
878,1996,6,3,12,83.5
879,1996,6,5,8,69.5
880,1996,6,6,12,89.7
881,1996,6,7,5,51
882,1996,6,9,2,24.6
883,1996,6,9,2,25.1
884,1996,6,9,2,25.4
885,1996,6,9,2,25.5
886,1996,6,9,2,25.7
887,1996,6,9,2,25.7
888,1996,6,9,2,26
889,1996,6,9,2,26
890,1996,6,9,2,26.1
891,1996,6,9,2,26.1
892,1996,6,9,2,26.2
893,1996,6,9,2,26.3
894,1996,6,9,2,26.3
895,1996,6,9,2,26.4
896,1996,6,9,2,26.5
897,1996,6,9,2,26.5
898,1996,6,9,2,26.5
899,1996,6,9,2,26.6
900,1996,6,9,2,26.8
901,1996,6,9,2,26.9
902,1996,6,9,2,26.9
903,1996,6,9,2,26.9
904,1996,6,9,2,27
905,1996,6,9,2,27.1
906,1996,6,9,2,27.1
907,1996,6,9,2,27.2
908,1996,6,9,2,27.2
909,1996,6,9,2,27.2
910,1996,6,9,2,27.3
911,1996,6,9,2,27.3
912,1996,6,9,2,27.5
913,1996,6,9,2,27.7
914,1996,6,9,2,27.9
915,1996,6,9,2,28
916,1996,6,9,2,28
917,1996,6,9,2,28.2
918,1996,6,9,2,28.3
919,1996,6,9,2,29.3
920,1996,6,9,2,29.4
921,1996,6,9,2,29.8
922,1996,6,9,4,39.4
923,1996,6,9,4,40.7
924,1996,6,9,4,41
925,1996,6,9,4,43.4
926,1996,6,9,4,43.5
927,1996,6,9,4,44.2
928,1996,6,9,4,44.3
929,1996,6,9,5,45.2
930,1996,6,9,5,47.1
931,1996,6,9,4,48.1
932,1996,6,9,5,48.5
933,1996,6,9,5,48.7
934,1996,6,9,5,48.7
935,1996,6,9,5,49.8
936,1996,6,9,5,51.3
937,1996,6,9,9,73.7
938,1996,6,12,2,27.2
939,1996,6,13,2,27.8
940,1996,6,13,2,28
941,1996,6,14,2,25.5
942,1996,6,14,2,25.8
943,1996,6,14,2,27.1
944,1996,6,14,2,28.3
945,1996,6,15,2,24.2
